source,experiment,stain,subject_id,intensity_mean,intensity_std,intensity_skew,intensity_kurt,freq_band0,freq_band1,freq_band2,freq_band3,freq_band4,grad_mean,grad_std,gmm_mean1,gmm_mean2,gmm_weight1,gmm_std1,PC1,PC2,PC3,PC4,PC5
real,,Abeta,025,-0.8555848,-0.7712328,2.1091533,3.022176,-1.2919124,-1.4446766,-1.6400728,-1.6461164,-1.581598,-1.0860829,-1.0030822,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-16.558386,-1.7303469,-4.861191,2.1047463,-0.2286698
real,,Abeta,026,-0.96297395,-0.703465,1.7583036,1.3779624,-1.6132582,-0.81619704,-0.60228044,-0.43318564,-0.36964768,-1.0066011,-0.67804396,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-15.915607,-1.3807225,-3.4964945,0.4358232,-0.01384984
real,,Abeta,027,-0.7309702,-0.7456044,0.6790424,0.70486605,-0.86616975,-1.1648413,-1.2062231,-1.1937498,-1.2107613,-1.0401238,-0.9494415,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-16.020832,-1.6345878,-3.8233294,0.91293085,-0.2014838
real,,Abeta,028,-0.9995814,-0.7555881,2.9711394,3.0948546,-1.9011335,-1.2604833,-1.1524636,-0.9870445,-0.94478154,-1.1000069,-0.86226237,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-16.453772,-1.595366,-4.5892835,1.6267532,-0.12702979
real,,Abeta,029,-0.6659873,-0.6381035,0.3499986,0.026641453,-1.0541322,-0.8643259,-0.79111034,-0.7180577,-0.6680808,-0.792158,-0.554786,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-15.569416,-1.2495539,-3.2050657,0.31320715,0.049597666
real,,Abeta,030,-0.76860994,-0.5664758,0.61730313,0.106060326,-1.0346556,-0.30532107,-0.13502976,-0.10535809,-0.17978519,-0.71990967,-0.2575831,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-15.25736,-1.0032694,-2.544179,-0.31655666,0.27137804
real,,Abeta,031,-0.86386544,-0.63890266,0.88346463,0.384395,-1.1606324,-0.41957396,-0.3755035,-0.42095143,-0.50512433,-0.88405657,-0.5411604,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-15.610297,-1.2436702,-2.96182,0.021889389,0.091728374
real,,Abeta,032,-0.7306329,-0.50023156,0.025843149,-0.27446243,-0.40161282,-0.020431496,0.19968311,0.40448907,0.5079454,-0.5597421,-0.32115686,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-14.771786,-0.8336062,-1.7206872,-1.0974188,0.0999921
real,,Abeta,033,-0.68195736,-0.4343934,0.13466132,-0.24996859,-0.35558984,0.12287915,0.39809582,0.5298822,0.6199987,-0.47693825,-0.14945622,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-14.597021,-0.7097896,-1.5356578,-1.1884625,0.22300698
real,,Abeta,034,-0.74451935,-0.5267674,0.08235871,-0.22497901,-0.6085933,-0.030882152,0.30617917,0.5148015,0.6335932,-0.40671524,-0.24188647,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-14.711275,-0.65250504,-1.727934,-1.1750278,0.11887695
real,,Abeta,035,-0.4871527,-0.3452465,-0.04706606,-0.32357806,-0.10874938,0.43612295,0.8423298,0.98306847,1.0632101,-0.101712555,0.14693618,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-13.991016,-0.29296607,-0.9914259,-1.6429937,0.34352797
real,,Abeta,036,-0.5964692,-0.40518916,-0.110214084,-0.33273163,-0.21533957,0.2789418,0.675143,0.87924486,0.984358,-0.16874188,-0.0104007935,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-14.210353,-0.378136,-1.1616197,-1.5658654,0.22305152
real,,Abeta,037,-0.67782,-0.34433874,-0.09004953,-0.3280046,-0.1868014,0.2883393,0.6302829,0.8144602,0.92195237,-0.11798555,0.007480393,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-14.289562,-0.31475282,-1.1383982,-1.4678087,0.21564633
real,,Abeta,038,-0.8377705,-0.56991494,0.50891346,0.024674887,-0.8080906,-0.07206165,0.27894557,0.4793708,0.6206115,-0.6683365,-0.29357854,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-14.932842,-0.879782,-1.8976189,-1.0820493,0.16409753
real,,Abeta,039,-0.75234926,-0.552131,0.31893358,-0.11144677,-0.611056,-0.077897765,0.16076551,0.34957275,0.43784276,-0.6385481,-0.32712302,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-14.892046,-0.90441364,-1.9299654,-0.975531,0.13484634
real,,Abeta,040,-0.7086978,-0.44349772,-0.10537365,-0.32780594,-0.3436453,0.1897289,0.5511251,0.76717544,0.9014891,-0.23391157,-0.100188956,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-14.417838,-0.44008476,-1.3038442,-1.4774604,0.16648728
real,,Abeta,041,-0.71099365,-0.49117282,0.4177801,-0.062295835,-1.1332372,-0.40635514,-0.18645926,-0.09398418,-0.09854063,-0.54127985,0.0048267,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-15.136947,-0.7768699,-2.4838147,-0.25515825,0.4384917
real,,Abeta,042,-0.80795544,-0.60825056,0.7316947,0.2464295,-1.0100507,-0.34923995,-0.18684204,-0.10424983,-0.028842434,-0.8272313,-0.4238401,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-15.3259735,-1.1352178,-2.5791607,-0.3634414,0.14517434
